 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , Chocolate Puma ,728533.955908, ,
 , Fire ,728271.526935, ,
 , Halestorm ,727513.244875, ,
 , Victor Calderone ,727271.304057, ,
 , Taj Mahal ,727170.997811, ,
 , The Killers ,726858.724268, ,
 , Subb-an ,726741.941664, ,
 , ABBA Mania ,725673.897177, ,
 , The National ,725611.624825, ,
 , The Red Jumpsuit Apparatus ,725374.568228, ,
 , Marco V ,725055.555725, ,
 , Jimmy Eat World ,724625.852312, ,
 , Otto Knows ,724372.847842, ,
 , Popa Chubby ,724340.181047, ,
 , Coolio ,724019.693672, ,
 , Train ,724007.740612, ,
 , Preservation Hall Jazz Band ,723544.435773, ,
 , The Aggrolites ,723491.97499, ,
 , Keller Williams ,723272.570246, ,
 , The Bronx ,722915.399753, ,
 , Ed Sheeran ,722792.44042, ,
 , !!! ,721809.516364, ,
 , Ellis Paul ,721666.551051, ,
 , David Morales ,721307.350496, ,
 , Killswitch Engage ,720517.547026, ,
 , Jackmaster ,720512.868133, ,
 , Phoenix ,720460.146049, ,
 , Madeon ,720341.30379, ,
 , Little Big Town ,719048.692162, ,
 , Béla Fleck ,718714.594431, ,
 , Art ,718615.266418, ,
 , Dionne Warwick ,717385.461912, ,
 , André Rieu ,714973.413086, ,
 , Dierks Bentley ,714673.069282, ,
 , Seether ,714274.811041, ,
 , Martin ,713888.644499, ,
 , Sigma ,713044.229568, ,
 , b2b ,712524.09948, ,
 , Supersuckers ,712392.46045, ,
 , The Soul Rebels ,712387.171817, ,
 , The Flaming Lips ,712205.424266, ,
 , Travis Tritt ,712202.74413, ,
 , Hawk Nelson ,712194.148776, ,
 , Simple Plan ,712010.508608, ,
 , Sven Väth ,712008.543224, ,
 , Wilkinson ,710994.854201, ,
 , Jonny Lang ,709887.535102, ,
 , Wolfgang Gartner ,709794.347531, ,
 , Building 429 ,709445.157954, ,
 , Beach House ,709375.923502, ,
 , Dropkick Murphys ,708139.897734, ,
 , Tesla ,707761.677788, ,
 , Downlink ,707691.483964, ,
 , Kataklysm ,707596.776542, ,
 , Keith Sweat ,707264.646619, ,
 , Gregory Porter ,707218.545797, ,
 , MercyMe ,705792.305024, ,
 , doctor P ,705450.43026, ,
 , Gretchen Peters ,705355.90626, ,
 , Camea ,705279.670762, ,
 , Born of Osiris ,705213.628508, ,
 , Closed For Private Event ,704560.425063, ,
 , Rick Springfield ,703700.403355, ,
 , Yellow Claw ,703455.96408, ,
 , Chali 2na ,703092.702351, ,
 , Galactic ,702578.887223, ,
 , Epica ,702400.798651, ,
 , Tech N9ne ,702254.560223, ,
 , Black Stone Cherry ,702250.322769, ,
 , Pretty Lights ,702243.307531, ,
 , Lionel Loueke ,702022.47322, ,
 , Gin Blossoms ,701632.916071, ,
 , Macy Gray ,700151.871372, ,
 , Silversun Pickups ,700001.836514, ,
 , Fashen ,699810.640306, ,
 , Ben ,699512.296348, ,
 , The Brew ,699410.751369, ,
 , Horse Meat Disco ,699388.80116, ,
 , The Rat Pack ,699216.283428, ,
 , DJ Fresh ,698912.826056, ,
 , Romeo & Juliet ,698368.338258, ,
 , B.O.B ,697496.620737, ,
 , Joe Pug ,697153.865999, ,
 , BT ,696905.278049, ,
 , Concerts ,696681.326288, ,
 , Claude-Michel Schönberg ,695592.809049, ,
 , Bliss ,694159.939216, ,
 , Pennywise ,693763.16744, ,
 , The Sword ,693633.612339, ,
 , LOCASH ,693436.607427, ,
 , Slayer ,693205.560124, ,
 , Shinedown ,693179.784436, ,
 , Andrew Bird ,693145.06901, ,
 , Joe Lovano ,692325.870444, ,
