 nom,km,pos
 Bryan Kearney ,656972.031422,796
 Miranda Lambert ,656888.877107,797
 Ravi Coltrane ,656647.566004,798
 Tame Impala ,656027.057677,799
 Snarky Puppy ,655828.824707,800
 UK ,655691.136891,801
 Jon Cleary ,655557.210794,802
 The Doobie Brothers ,654553.672313,803
 Metallica ,654544.50479,804
 Charles Bradley ,654116.305356,805
 Fall Out Boy ,653416.371953,806
 José González ,653307.4144,807
 Korpiklaani ,652967.110616,808
 Popof ,652434.964887,809
 DNA ,651914.215875,810
 2 Chainz ,651741.287062,811
 Zimmer ,650900.724581,812
 Woods ,650648.34042,813
 local support ,650609.060192,814
 Between the Buried and Me ,650596.854016,815
 Alan Fitzpatrick ,650271.662166,816
 Official Darkest Hour ,650163.845207,817
 Doc Martin ,649426.198453,818
 Marco Carola ,649034.527793,819
 Emancipator ,649033.259476,820
 NOFX ,648860.189282,821
 Party Favor ,648631.35177,822
 Beth Hart ,648256.737914,823
 Kim ,647737.733341,824
 Local Natives ,647652.927773,825
 MGMT ,646233.037776,826
 Salt-N-Pepa ,646093.245527,827
 Jeremy Camp ,646063.238209,828
 Opeth ,645666.006044,829
 The Airborne Toxic Event ,645349.70725,830
 In This Moment ,645050.46635,831
 Baauer ,644930.509657,832
 Jason Aldean ,644433.527759,833
 Dinosaur Jr. ,644206.612631,834
 NGHTMRE ,644095.508998,835
 Showcase ,644021.552232,836
 Trey Songz ,643954.21362,837
 Slander ,643376.110971,838
 Bryce Dessner ,643259.571965,839
 The Slackers ,643119.81485,840
 Christopher Lawrence ,642993.912153,841
 Gaudi ,642845.980808,842
 Cage the Elephant ,642568.556802,843
 Moon Boots ,642267.641612,844
 Roots ,641820.267865,845
 Jason Isbell ,641780.919701,846
 Five Finger Death Punch ,641624.949111,847
 Charlie Musselwhite ,641603.773615,848
 Future Islands ,640175.647439,849
 Giuseppe Ottaviani ,640107.650208,850
 After the Burial ,640088.86847,851
 Beats ,640071.103514,852
 Kali ,639838.427054,853
 Eluveitie ,638495.971475,854
 Cazzette ,638428.055538,855
 Average White Band ,638394.983196,856
 Dosem ,638077.826872,857
 Recondite ,638006.108706,858
 Thy Art Is Murder ,637850.853503,859
 Zero ,637174.52355,860
 Los Lonely Boys ,637156.530574,861
 Wade Bowen ,636707.52432,862
 Erykah Badu ,636595.233366,863
 Ron White ,636509.802808,864
 Disciple ,636248.929586,865
 Kim Ann Foxman ,635982.616637,866
 ONCE ,635649.340837,867
 Goldie ,635644.723081,868
 Danny Krivit ,635190.739731,869
 Madeleine Peyroux ,634806.173392,870
 twenty one pilots ,634213.695017,871
 Francois K. ,634071.967211,872
 Joshua Radin ,633616.883806,873
 Taking Back Sunday ,632924.44771,874
 Serge Devant ,632701.734071,875
 Chromeo ,632664.117173,876
 Marduk ,632331.769437,877
 Walter Trout ,631645.394677,878
 Lawrence ,631341.431946,879
 Adriatique ,631247.77475,880
 Marilyn Manson ,630838.229632,881
 Alex M.O.R.P.H. ,630770.350554,882
 Bag Raiders ,629897.896705,883
 GHOST ,629109.421662,884
 Vieux Farka Touré ,629060.672785,885
 The Offspring ,628967.925966,886
 Sting ,628586.426602,887
 The Kills ,628545.539352,888
 Gilles Peterson ,628388.361847,889
 The Saints ,628353.564226,890
 Steel Pulse ,628340.609216,891
 Anthony Attalla ,627485.93035,892
 REO Speedwagon ,626975.321594,893
 Melissa Etheridge ,626756.939395,894
 Psycroptic ,626605.817474,895
 Smokey Robinson ,626589.261084,896
 No Regular Play ,626558.729999,897
 Mega Ran ,626416.132178,898
 Montgomery Gentry ,626237.345346,899
 Marky Ramone ,625962.683049,900
 Little Dragon ,625902.593399,901
 Onra ,625902.054693,902
 Linkin Park ,625666.863835,903
 Brett Dennen ,625499.388881,904
 Lynyrd Skynyrd ,625307.852185,905
 Richard Thompson ,625151.932137,906
 Passion Pit ,625076.944092,907
 Matt Tolfrey ,624833.256142,908
 Peter Rowan ,624603.511689,909
 Naturally 7 ,624583.989161,910
 Robert Babicz ,624423.518614,911
 Shwayze ,624289.952672,912
 Yoshi ,624191.836236,913
 The Animals ,624064.33145,914
 Worthy ,623924.094869,915
 Matthew Stevens ,623204.171023,916
 Dance Gavin Dance ,622900.758852,917
 Justice ,622271.287057,918
 Octave One ,621873.656886,919
 Solarstone ,621719.456096,920
 Redman ,621641.255293,921
 Danny Brown ,621527.840998,922
 Rascal Flatts ,621149.478296,923
 Monika Kruse ,620603.681146,924
 We Are Scientists ,620545.507247,925
 Vanna ,620424.588532,926
 Lloyd ,620232.627197,927
 Napalm Death Uk ,619987.513697,928
 Kaiser Chiefs ,619785.971079,929
 Calexico ,619686.488105,930
 Bad Religion ,619310.875985,931
 Mind Against ,618925.06219,932
 the Bad ,618713.841883,933
 Mark Chesnutt ,618513.467,934
 KhoMha ,618384.982764,935
 Deafheaven ,618331.150171,936
 Marcus Miller ,618270.659523,937
 Tommy Castro ,617012.249441,938
 Dave Mason ,616835.400193,939
 Janiva Magness ,616730.696185,940
 D. Ramirez ,616511.804329,941
 Theory of a Deadman ,616481.588469,942
 Ben Folds ,616457.766204,943
 J.Cole ,615831.040388,944
 The Trews ,615325.78154,945
 Moodymann ,615260.536963,946
 Lemonade ,614253.016154,947
 Motionless In White ,613669.143419,948
 Bill Patrick ,613407.516502,949
 City and Colour ,613347.017944,950
 Lost ,612967.068491,951
 Noir ,612691.733316,952
 Keith Urban ,612586.288466,953
 Richard Durand ,612545.400283,954
 Lost and Found ,611977.534854,955
 Osunlade ,611974.730219,956
 Panic! At The Disco ,611762.285483,957
 Night ,611641.587885,958
 Katy Perry ,611628.820463,959
 DragonForce ,611592.73596,960
 Delta Heavy ,611554.224141,961
 Corb Lund ,611531.419887,962
 Arch Enemy ,611418.989816,963
 Yelawolf ,611254.180394,964
 of Montreal ,611195.996831,965
 Saving Abel ,610816.658356,966
 Tim Green ,610361.382417,967
 Hellyeah ,610361.289922,968
 Madina Lake ,610343.886393,969
 Fabolous ,610247.865442,970
 Mathew Jonson ,610082.336283,971
 Low ,610050.707879,972
 Alex Taylor ,609353.468793,973
 Peanut Butter Wolf ,609173.024435,974
 Four Tops ,609013.319092,975
 The Faceless ,608822.012456,976
 Queens of the Stone Age ,608698.290317,977
 Katchafire ,608652.350708,978
 DVS1 ,608467.404184,979
 Foghat ,608452.03423,980
 Ookay ,608409.07516,981
 DJ Scene ,608386.591293,982
 Justin Moore ,608333.911739,983
 Girl Talk ,608230.835862,984
 Creedence Clearwater Revisited ,608169.030709,985
 UB40 ,607763.566636,986
 Nick ,607673.927844,987
 Om Unit ,607463.961528,988
 Grouplove ,607409.475577,989
 Manchester Orchestra ,607401.665198,990
 Minus the Bear ,606670.668541,991
 Obituary ,606586.810906,992
 Our Last Night ,606519.234628,993
 Nashville Pussy ,606462.411921,994
 andhim ,606125.739285,995
 Jackson ,605887.273679,996
 Maya Jane Coles ,605301.206437,997
 Boris Brejcha ,605242.122864,998
 Marc Romboy ,604791.101972,999
 Paul Kalkbrenner ,604773.311108,1000
 Los Amigos Invisibles ,604705.363795,1001
 Chris Potter ,604702.854076,1002
 Machine Drum ,604221.730023,1003
 Pop Evil ,604200.851896,1004
 Hawthorne Heights ,603243.020066,1005
 Ghostface Killah ,602677.38487,1006
 Big Gigantic ,602336.979605,1007
 AWOLNATION ,602299.948865,1008
 Aaron Lewis ,602248.102965,1009
 Dumpstaphunk ,602161.178141,1010
 Slightly Stoopid ,601246.774414,1011
 Bastille ,600854.543396,1012
 Pearl ,600717.681634,1013
 Evergreen Terrace ,600691.54723,1014
 Easton Corbin ,600526.541903,1015
 Umphrey's McGee ,600517.778549,1016
 Set ,600359.985702,1017
 Marshmello ,600225.704876,1018
 Kenny Dope  ,599539.711954,1019
 Jackson Browne ,599336.260478,1020
 Cat Power ,599246.811097,1021
 Excision ,599201.097157,1022
 Santana ,598907.806064,1023
 Rebelution ,598178.689887,1024
 Chaka Khan ,598031.141926,1025
 Pokey LaFarge ,597989.625944,1026
 Paula Poundstone ,597922.469375,1027
 Billy Bragg ,597755.586849,1028
 Brian McKnight ,597636.815207,1029
 Gipsy Kings ,597569.039236,1030
 Miss May I ,596868.214007,1031
 MxPx ,596770.599713,1032
 Christmas ,596322.831514,1033
 Arctic Moon ,596180.119009,1034
 Hundredth ,595722.965173,1035
 LTJ Bukem ,595291.922852,1036
 Enrique Iglesias ,594782.927005,1037
 Big Sean ,593924.868518,1038
 Journey ,593770.2883,1039
 Harlem Gospel Choir ,593666.082845,1040
 Puddle of Mudd ,593258.513286,1041
 Kansas ,592970.265489,1042
 Napalm Death ,592596.669349,1043
 Lupe Fiasco ,591537.295323,1044
 UP! ,591516.506446,1045
 Jack Ingram ,591498.007883,1046
 Vance Joy ,591389.927072,1047
 Visuals ,591181.149252,1048
 Third Party ,591043.677698,1049
 Deerhoof ,590786.809006,1050
 The Band Perry ,590402.058781,1051
 Optimo ,590031.345498,1052
 Daughtry ,589555.726223,1053
 Jason Boland & The Stragglers ,589170.028934,1054
 Apocalyptica ,589123.659095,1055
 Guns ,589104.974432,1056
 Luke Bryan ,588938.234925,1057
 Hunter ,588354.397749,1058
 Dr. Dog ,588319.954279,1059
 The Tommy Castro Band ,588201.075725,1060
 Eric Church ,587982.505365,1061
 John Scofield ,587735.716223,1062
 Goldfish ,587473.310349,1063
 The Black Angels ,587424.229283,1064
 Electric Six ,587408.252441,1065
 Warbringer ,587263.029111,1066
 Yuksek ,587206.01296,1067
 Richard Bona ,587153.398051,1068
 Foreign Beggars ,587126.63742,1069
 John Acquaviva ,587063.030891,1070
 Wednesday 13 ,587031.802397,1071
 Peter Mulvey ,586859.925095,1072
 Rain ,586844.691692,1073
 The Business ,586535.512172,1074
 tobyMac ,586475.948914,1075
 The Prototypes ,586344.679961,1076
 Matthias Meyer ,586241.489193,1077
 Netsky ,586112.709198,1078
 Joan Jett and the Blackhearts ,585946.112187,1079
 RÜFÜS ,585907.766114,1080
 Keb' Mo' ,585832.703585,1081
 Gavin DeGraw ,585753.161609,1082
 Everlast ,585246.899421,1083
 YG ,585210.215478,1084
 You Me At Six ,585176.312476,1085
 Kiss ,584279.650636,1086
 Little River Band ,584207.407371,1087
 Allan Harris ,583839.759467,1088
 Chuck Prophet ,583768.37367,1089
 Ellie Goulding ,583617.571923,1090
 Frankie Valli ,583165.61496,1091
 Christian Scott ,582920.903994,1092
 Marty Stuart ,582905.093687,1093
 Gabriel & Dresden ,582576.200057,1094
 Jeff Mills ,582384.313298,1095
 Dale Watson ,582206.956568,1096
 Zoso ,582145.957242,1097
 Attila ,582039.13005,1098
 DJ Spider ,581809.371345,1099
 Daniel O'Donnell ,581649.010192,1100
 FuntCase ,581555.107565,1101
 John B ,581181.921685,1102
 MAC MILLER ,581147.15986,1103
 StoneBridge ,581010.49751,1104
 Gaiser ,580946.299071,1105
 Michael Feinstein ,580763.409344,1106
 Thompson Square ,580714.588005,1107
 Death Cab for Cutie ,580628.24447,1108
 Explosions in the Sky ,580486.726347,1109
 Joey DeFrancesco ,580427.426829,1110
 dead prez ,580343.30234,1111
 George Benson ,580237.246419,1112
 Jerrod Niemann ,580076.011003,1113
 In Flames ,579903.24015,1114
 Ty Dolla $ign ,579729.271549,1115
 T-Pain ,579669.078408,1116
 Valentino Khan ,579587.01888,1117
 Tim ,579544.590741,1118
 DJ Spinna ,578970.851212,1119
 Paris ,578955.69643,1120
 The New Mastersounds ,578629.913557,1121
 Leo Kottke ,578185.824452,1122
 Roger Hodgson ,578185.312041,1123
 The Black Madonna ,578009.119298,1124
 Kink ,577975.325544,1125
 Robert Hood ,577756.023076,1126
 Hiromi ,577670.300438,1127
 Lonestar ,577560.032898,1128
 Deftones ,577543.58044,1129
 Mark Lanegan ,577267.64188,1130
 Lissie ,577032.181232,1131
 An American In Paris ,576849.370082,1132
 Franz Ferdinand ,576794.373346,1133
 Busdriver ,576781.386553,1134
 The Joy Formidable ,576711.855485,1135
 I See Stars ,576645.571892,1136
 CRESPO ,576090.00644,1137
 Chris Isaak ,576068.981932,1138
 PHANTOGRAM ,576032.063426,1139
 Blues Traveler ,575959.504736,1140
 Davide Squillace ,575720.67819,1141
 Michael Franti ,575617.777686,1142
 The Young Dubliners ,575363.553741,1143
 Aaron Watson ,574979.859239,1144
 Terence Blanchard ,574772.746299,1145
 The xx ,574672.872281,1146
 Hayes Carll ,574421.925769,1147
 Lucy Kaplansky ,574334.446707,1148
 Metronomy ,574267.20925,1149
 Craig Morgan ,573157.042948,1150
 Dj R-Wan ,572629.81563,1151
 Jackie Greene ,572576.958251,1152
 The Dodos ,572534.908935,1153
 Vicetone ,572487.013238,1154
 Heartthrob ,572315.371214,1155
 The Fray ,572050.944346,1156
 Dwight Yoakam ,572001.3941,1157
 Gramatik ,571651.794226,1158
 The Crystal Method ,571526.525726,1159
 Justin Townes Earle ,571041.550556,1160
 Black Rebel Motorcycle Club ,570874.868172,1161
 PoP ,570566.69503,1162
 Eric Bibb ,570555.17104,1163
 Nile ,569790.413529,1164
 Cashmere Cat ,569740.56847,1165
 Revolver ,569609.027028,1166
 Elvis Costello ,569493.448626,1167
 Macklemore & Ryan Lewis ,569190.366854,1168
 Reckless Kelly ,568722.276628,1169
 KC and The Sunshine Band ,568708.350791,1170
 Dave Matthews Band ,568695.014939,1171
 Sanctus Real ,568105.773273,1172
 Roy Ayers ,568061.114326,1173
 Sam Amidon ,567306.437858,1174
 Floating Points ,567299.508655,1175
 Pat Metheny ,566984.819185,1176
 Robin Schulz ,566892.991266,1177
 Kellie Pickler ,566864.485174,1178
 Crazy P ,566701.609761,1179
 Kölsch ,565869.361425,1180
 Jethro Tull ,565745.587659,1181
 Victor Wooten ,565560.849361,1182
 Ned Shepard ,565555.45771,1183
 Cheap Trick ,565365.688578,1184
 Kenny Wayne Shepherd ,564738.364075,1185
 Great White ,564436.70567,1186
 The Cult ,564411.113588,1187
 Omnia ,564342.582797,1188
 Dj Beatbreaker ,564327.477059,1189
 Juicy ,563946.565044,1190
 Girls Night Out ,563580.487045,1191
 Eric Prydz ,563301.072983,1192
 Eilen Jewell ,563230.241329,1193
 Heart ,563200.097075,1194
 White Denim ,563084.435075,1195
 Koffin Kats ,562733.211455,1196
 Karl Denson's Tiny Universe ,562682.322372,1197
 The Ataris ,562548.635145,1198
 The Aston Shuffle ,562434.250841,1199
 Belphegor ,562303.557738,1200
 Lee Ritenour ,562241.443191,1201
 LA Boheme ,562059.92605,1202
 Sevendust ,561754.689702,1203
 Within the Ruins ,561466.636091,1204
 Hollywood Undead ,560598.853052,1205
 The Drums ,560503.30623,1206
 Michael McDonald ,560060.437604,1207
 Combichrist ,560035.838507,1208
 Big Sam's Funky Nation ,559923.693139,1209
 SchoolBoy Q ,559842.963237,1210
 Goatwhore ,559453.441966,1211
 Big Freedia ,559185.900375,1212
 Shpongle (Simon Posford) ,559180.556756,1213
 Tenth Avenue North ,559143.461486,1214
 Eric Sardinas ,558681.403825,1215
 Matthew West ,558398.816779,1216
 Live Jazz ,558332.107064,1217
 Martha Wainwright ,558025.619434,1218
 Lucinda Williams ,557923.100529,1219
 The Band of Heathens ,557640.436003,1220
 Sian ,557537.071067,1221
 Brian Regan ,557472.310027,1222
 Karizma ,557069.195275,1223
 Deetron ,556879.73831,1224
 Laura Marling ,556687.167724,1225
 MOTi ,556503.169512,1226
 Sidewalk Prophets ,556448.993691,1227
 Blood_ Sweat & Tears ,556263.745112,1228
 Kenny Larkin ,556163.657943,1229
 Sick Puppies ,555868.39086,1230
 Lee Brice ,555800.17773,1231
 Supports ,555695.020335,1232
 Omar-S ,555057.94575,1233
 Brother Ali ,555049.798969,1234
 Stray From the Path ,554761.46825,1235
 Action Bronson ,554384.595264,1236
 Diana Krall ,554339.186585,1237
 Anais Mitchell ,554317.608051,1238
 King Parrot ,554285.724579,1239
 Third Eye Blind ,554281.610545,1240
 Gladys Knight ,554237.200212,1241
 Steve Poltz ,554209.696056,1242
 Paul Anka ,553514.917012,1243
 Josh Turner ,553315.636882,1244
 Nosaj Thing ,553245.622896,1245
 Brooke Evers ,553239.776658,1246
 Mando Diao ,552924.66203,1247
 Randy Rogers Band ,552922.338136,1248
 Death Angel ,552819.675701,1249
 Sonata Árctica ,552790.39969,1250
 Body ,552733.394474,1251
 Dustin Lynch ,552613.427057,1252
 Tift Merritt ,552499.355931,1253
 Gov't Mule ,552359.813369,1254
 Interpol ,552303.168929,1255
 Ryan Adams ,552290.12167,1256
 Benji ,552172.670321,1257
 Droog ,551976.732856,1258
 The Vaccines ,551943.616713,1259
 Techno ,551762.968539,1260
 James Blunt ,551554.734554,1261
 Tinariwen ,551338.088253,1262
 Concha Buika ,551308.580665,1263
 Thee Oh Sees ,551169.303626,1264
 Bob Wayne ,551120.262838,1265
 GLOWINTHEDARK ,551009.992289,1266
 The Diamonds ,551002.539818,1267
 Clark ,549453.814095,1268
 Sebastian Ingrosso ,549391.835581,1269
 NEEDTOBREATHE ,549387.38576,1270
 Bellamy Brothers Band ,549127.510916,1271
 Jesse Malin ,549054.778488,1272
 The B-52's ,549033.914542,1273
 Boz Scaggs ,549000.626126,1274
 Outlaws ,548809.707214,1275
 Nicole Moudaber ,548756.379469,1276
 Pat Benatar ,548653.20385,1277
 LCD Soundsystem ,548506.268169,1278
 Scorpions ,548476.266351,1279
 Bicep ,548360.158794,1280
 Randy Houser ,547719.428666,1281
 Man ,547587.399502,1282
 Indigo Girls ,547515.85068,1283
 Norma Jean ,547487.427115,1284
 Wine ,547390.795684,1285
 EOTO ,547265.169757,1286
 Wiwek ,547215.380018,1287
 The Jillionaire ,547211.620637,1288
 Eric Burdon ,547123.053995,1289
 James Blake ,546718.224229,1290
 Animal Collective ,546683.885501,1291
 Touche Amore ,546668.647645,1292
 Anna Lunoe ,546612.920574,1293
 Collie Buddz ,546483.035385,1294
 Tom Jones ,546235.107344,1295
 The Ten Tenors ,545976.491113,1296
 Willy Monfret ,545809.698861,1297
 Sweet ,545789.160456,1298
 Patrick Topping ,545752.991739,1299
 Shooter Jennings ,545497.232256,1300
 Greensky Bluegrass ,545352.093392,1301
 Fort Knox Five ,545061.032245,1302
 Real Estate ,544480.101596,1303
 Fat Freddy's Drop ,544423.231299,1304
 Safari ,543798.373534,1305
 Coyu ,543610.565302,1306
 Scott H. Biram ,543469.63439,1307
 Black & White ,543317.445687,1308
 The Game ,543139.98941,1309
 Nonpoint ,543059.64915,1310
 Sebastian Bach ,542735.852431,1311
 DJ Dee Kline ,542652.863155,1312
 Cloud Nothings ,542582.721388,1313
 Ginuwine ,542507.955725,1314
 Michael Mayer ,542440.188615,1315
 Breakbot ,542383.476444,1316
 Emmanuel ,542367.632522,1317
 Incognito ,542321.467718,1318
 Chez Damier ,541813.396819,1319
 MUTEMATH ,541500.858434,1320
 DJ Yoda ,541148.437405,1321
 Deco ,541058.776332,1322
 Tommy ,541039.267472,1323
 Nickodemus ,541009.036369,1324
 Backstreet Boys ,540653.111549,1325
 Colt Ford ,540361.887384,1326
 The Expendables ,540326.010733,1327
 Streetlight Manifesto ,540296.676709,1328
 Underworld ,540030.992425,1329
 DJ Harvey ,539698.706938,1330
 In Hearts Wake ,539158.230963,1331
 So ,539072.301593,1332
 T.I. ,538947.743962,1333
 That 1 Guy ,538924.850875,1334
 Animals as Leaders ,538824.761424,1335
 Will Hoge ,538500.251001,1336
 NORTHLANE ,538238.863333,1337
 Caliban ,538234.017957,1338
 Sunnery James ,538203.246791,1339
 JR ,538112.041379,1340
 Okkervil River ,538028.672897,1341
 Mothers ,537883.084301,1342
 The Story So Far ,537663.199666,1343
 Video Games Live ,537619.592372,1344
 KT Tunstall ,537520.899356,1345
 Swans ,537001.53261,1346
 Eddie Fisher (OneRepublic) Fan Club,536508.685452,1347
 RiFF RAFF ,536347.950792,1348
 Tycho ,536153.154313,1349
 Kiki ,536118.40821,1350
 Metro Station ,536064.667386,1351
 Pirupa ,536029.053992,1352
 Mary Gauthier ,535896.471519,1353
 Daryl Hall ,535734.794767,1354
 Lauren Lane ,535672.158357,1355
 Gabriel Iglesias ,535662.765349,1356
 Burns ,535648.636462,1357
 Kreator ,535602.062194,1358
 Feed Me ,535427.649226,1359
 Darius Rucker ,535338.913064,1360
 Blitzen Trapper ,535078.005668,1361
 Ryan Elliott ,534954.238207,1362
 Bedouin ,534736.47874,1363
 Maceo Plex ,534591.297575,1364
 Miguel ,534357.207502,1365
 Alejandro Escovedo ,534344.80013,1366
 Municipal Waste ,534342.798248,1367
 Jake Bugg ,534074.47095,1368
 The Afghan Whigs ,533864.984438,1369
 John Doe ,533345.877426,1370
 .38 Special ,533274.764169,1371
 Christian McBride ,533008.018405,1372
 D'julz ,532579.090357,1373
 Skism ,532509.036082,1374
 +More ,532445.112951,1375
 John Medeski ,532254.820361,1376
 The Moth ,531839.015152,1377
 Iron & Wine ,531749.010613,1378
 Ott ,531743.404351,1379
 Bouncing Souls ,531547.806925,1380
 Patti Smith ,531543.471749,1381
 Milk ,531454.504348,1382
 Tinie Tempah ,531422.76999,1383
 Ministry of Sound ,531145.171217,1384
 CLASSIXX ,531080.143663,1385
 Roy Davis Jr. ,530994.414159,1386
 Saliva ,530887.689993,1387
 bAr ,530791.506515,1388
 Brandon Heath ,530557.191083,1389
 Marco Bailey ,530506.153043,1390
 Glass Animals ,530331.498075,1391
 The Pimps of Joytime ,530260.458412,1392
 Morgan Harper Nichols ,530111.365599,1393
 Mutlu ,530017.667401,1394
 Pam Tillis ,529850.479703,1395
 Julian Lage ,529678.911822,1396
 bomba estereo ,529537.319655,1397
 Suffocation ,529241.998301,1398
 John Hammond ,528598.198772,1399
